Borough,Site Location,Latitude,Longitude,Location Point,DSNY District,DSNY Zone,BinType
Manhattan,,40.7589304,-73.99201306,POINT (-73.99201306 40.7589304),MN04,MN,FoodScrap
Queens,"179-18 145th Dr, Jamaica, NY 11434",40.66392,-73.76626,POINT (-73.76626 40.66392),QE13,QE,FoodScrap
Manhattan,,40.71026346,-73.99644857,POINT (-73.99644857 40.71026346),MN03,MN,FoodScrap
Bronx,1130 Grand Concourse,40.83268,-73.918805,POINT (-73.918805 40.83268),BX04,BX,FoodScrap
Bronx,,40.82739892,-73.91744524,POINT (-73.91744524 40.82739892),BX04,BX,FoodScrap
Manhattan,Battery Park City North End Dog Run,40.716483,-74.014855,POINT (-74.014855 40.716483),MN01,MN,FoodScrap
Brooklyn,,40.68581223,-73.94146979,POINT (-73.94146979 40.68581223),BKN03,BKN,FoodScrap
Manhattan,,40.78468357,-73.94989274,POINT (-73.94989274 40.78468357),MN08,MN,FoodScrap
Manhattan,,40.84610841,-73.93435451,POINT (-73.93435451 40.84610841),MN12,MN,FoodScrap
Brooklyn,3rd Ave & 95th Street,40.6174,-74.033703,POINT (-74.033703 40.6174),BKS10,BKS,FoodScrap
Manhattan,118 W 134th St,40.81380167,-73.94286914,POINT (-73.94286914 40.81380167),MN10,MN,FoodScrap
Brooklyn,,40.67550079,-73.96958336,POINT (-73.96958336 40.67550079),BKN08,BKN,FoodScrap
Brooklyn,,40.6907969,-73.91234536,POINT (-73.91234536 40.6907969),BKN04,BKN,FoodScrap
Bronx,,40.84382558,-73.78518753,POINT (-73.78518753 40.84382558),BX10,BX,FoodScrap
Bronx,"100 W Mosholu Pkwy S, The Bronx, NY 10468",40.88207,-73.88825,POINT (-73.88825 40.88207),BX07,BX,FoodScrap
Manhattan,,40.77380204,-73.95175657,POINT (-73.95175657 40.77380204),MN08,MN,FoodScrap
Brooklyn,,40.6712827,-73.94190498,POINT (-73.94190498 40.6712827),BKN08,BKN,FoodScrap
Manhattan,Broadway between 114th St. and 115th St.,40.807138,-73.96437,POINT (-73.96437 40.807138),MN09,MN,FoodScrap
Brooklyn,,40.69199579,-73.90651491,POINT (-73.90651491 40.69199579),BKN04,BKN,FoodScrap
Manhattan,6th Avenue & Spring Street -NE Corner,40.7256282,-74.003866,POINT (-74.003866 40.7256282),MN02,MN,FoodScrap
Queens,,40.76262573,-73.93766776,POINT (-73.93766776 40.76262573),QW01,QW,FoodScrap
Brooklyn,,40.67279918,-73.95310335,POINT (-73.95310335 40.67279918),BKN08,BKN,FoodScrap
Brooklyn,,40.68815347,-73.92714042,POINT (-73.92714042 40.68815347),BKN03,BKN,FoodScrap
Brooklyn,,40.6950796,-73.9073417,POINT (-73.9073417 40.6950796),BKN04,BKN,FoodScrap
Bronx,,40.84471862,-73.90847526,POINT (-73.90847526 40.84471862),BX04,BX,FoodScrap
Bronx,Near 1975 Eastchester Road,40.85322611,-73.8434618,POINT (-73.8434618 40.85322611),BX11,BX,FoodScrap
Brooklyn,"2601 - 2603 Tilden Avenue, Brooklyn 11226",40.6472062,-73.9526235,POINT (-73.9526235 40.6472062),BKN17,BKN,FoodScrap
Manhattan,,40.7909141,-73.96910424,POINT (-73.96910424 40.7909141),MN07,MN,FoodScrap
Manhattan,,40.8050784,-73.95281788,POINT (-73.95281788 40.8050784),MN10,MN,FoodScrap
Brooklyn,Smith St and 1st Pl,40.679954,-73.99517,POINT (-73.99517 40.679954),BKS06,BKS,FoodScrap
Bronx,"924 Kelly St, The Bronx, NY 10459",40.820124,-73.895674,POINT (-73.895674 40.820124),BX02,BX,FoodScrap
Manhattan,,40.77519164,-73.98753544,POINT (-73.98753544 40.77519164),MN07,MN,FoodScrap
Manhattan,,40.78340998,-73.94763142,POINT (-73.94763142 40.78340998),MN08,MN,FoodScrap
Brooklyn,"1 12th St, Brooklyn NY 11215",40.672077,-73.996401,POINT (-73.996401 40.672077),BKS06,BKS,FoodScrap
Brooklyn,,40.6799083,-73.95316858,POINT (-73.95316858 40.6799083),BKN03,BKN,FoodScrap
Manhattan,,40.8553482,-73.93804448,POINT (-73.93804448 40.8553482),MN12,MN,FoodScrap
Bronx,3041 Kingsbridge Avenue,40.879247,-73.90727,POINT (-73.90727 40.879247),BX08,BX,FoodScrap
Bronx,"1070 East Tremont Avenue. between Bronx Street and, Boston Rd, The Bronx, NY 10460",40.839897,-73.879181,POINT (-73.879181 40.839897),BX06,BX,FoodScrap
Manhattan,,40.76282014,-73.99302402,POINT (-73.99302402 40.76282014),MN04,MN,FoodScrap
Manhattan,,40.73589411,-73.98222696,POINT (-73.98222696 40.73589411),MN06,MN,FoodScrap
Manhattan,,40.73149351,-73.99466766,POINT (-73.99466766 40.73149351),MN02,MN,FoodScrap
Brooklyn,,40.69660505,-73.93099308,POINT (-73.93099308 40.69660505),BKN04,BKN,FoodScrap
Manhattan,"Liberty Court, 200 Rector Pl, New York, NY 10280",40.708464,-74.016164,POINT (-74.016164 40.708464),MN01,MN,FoodScrap
Bronx,"2150 University Avenue Bronx, NY 10453",40.8575626,-73.909437,POINT (-73.909437 40.8575626),BX05,BX,FoodScrap
Brooklyn,"9 Moffat St, Brooklyn, NY 11207",40.6843646,-73.9107326,POINT (-73.9107326 40.6843646),BKN04,BKN,FoodScrap
Manhattan,,40.84103325,-73.93805467,POINT (-73.93805467 40.84103325),MN12,MN,FoodScrap
Brooklyn,"173 E 4th St, Brooklyn, NY 11218",40.6483066,-73.9772287,POINT (-73.9772287 40.6483066),BKS07,BKS,FoodScrap
Manhattan,,40.72556518,-73.98065136,POINT (-73.98065136 40.72556518),MN03,MN,FoodScrap
Bronx,,40.82162476,-73.86291526,POINT (-73.86291526 40.82162476),BX09,BX,FoodScrap
Manhattan,,40.74448957,-73.97284148,POINT (-73.97284148 40.74448957),MN06,MN,FoodScrap
Queens,,40.7579291,-73.90980195,POINT (-73.90980195 40.7579291),QW01,QW,FoodScrap
Brooklyn,"120 Jefferson St, Brooklyn, NY 11206",40.69955,-73.93066,POINT (-73.93066 40.69955),BKN04,BKN,FoodScrap
Manhattan,,40.73262922,-73.98184437,POINT (-73.98184437 40.73262922),MN06,MN,FoodScrap
Brooklyn,,40.68657037,-73.95448588,POINT (-73.95448588 40.68657037),BKN03,BKN,FoodScrap
Brooklyn,,40.70206804,-73.92383762,POINT (-73.92383762 40.70206804),BKN04,BKN,FoodScrap
Manhattan,,40.85039541,-73.93447995,POINT (-73.93447995 40.85039541),MN12,MN,FoodScrap
Manhattan,,40.74413037,-73.97623066,POINT (-73.97623066 40.74413037),MN06,MN,FoodScrap
Bronx,,40.87989884,-73.87587871,POINT (-73.87587871 40.87989884),BX07,BX,FoodScrap
